Port_IDs,PnL,ROI,Sharpe Ratio,MDD,Win Rate,Total Positions,Win Positions,Score
3953433416230728705,0.20477009659274586,0.03014367906261646,0.5,,0.2600615583105435,0.08450008235875474,0.03802281368821293,
3953764659057081857,0.2180974679460721,0.032887100323194904,0.5,,0.38467861252671376,0.09372426288914512,0.062219149671621156,
3956048468100538880,0.16266713576093297,0.13596624610024988,0.5,,0.8899509170756911,0.0023060451325975953,0.0069132388524023505,
3956076827719377409,0.34544440747200594,0.06137226965791216,0.5,,0.6423736624632655,0.642727721956844,0.6978914621500173,
3957509601040585217,0.184015217897242,0.04003065400724958,0.5,,0.33583053474554375,0.1810245429089112,0.10369858278603526,
3960874214179953664,0.3783739388719596,0.03924673196645835,1.0,,0.642506596844859,0.3915335200131774,0.4262011752506049,
3962024093501274881,0.2568147260462387,0.03187295551054629,0.5,,0.32983412621862607,0.2073793444243123,0.11648807466297961,
3966142151544441601,0.20428446326906452,0.055627350154342656,0.5,,0.6629489440245002,0.3159281831658705,0.3553404770134808,
3975304792994095360,0.17644991765431436,0.043188873710611995,0.5,,0.5314883245538171,0.39927524295832645,0.35948842032492223,
3975392755164484097,0.17400982732326317,0.03505459829999101,0.5,,0.348779014412168,0.29896227969033107,0.17697891462150017,
3976088733682659585,0.21634614840301164,0.04593447668517868,0.5,,0.5428257832511428,0.461209026519519,0.42378154165226406,
3977078013600312321,0.20118472208527047,0.035949481395962324,1.0,,0.40670295795894273,0.824246417394169,0.5661942620117525,
3977116548751698176,0.15354294963417367,0.03829612071109905,1.0,,0.3498427742987199,0.26519519024872346,0.1576218458347736,
3977234346014419201,0.1751601254756388,0.15200549670755278,0.5,,0.49537026950478225,0.011365508153516718,0.011406844106463879,
3978449781300392193,0.2161980185636528,0.037527690710774844,0.5,,0.5466841347750673,0.12683248229286773,0.11890770826132042,
3981810242465907713,0.18001136014672703,0.04324918592951518,0.5,,0.14239214673211056,0.014989293361884369,0.00414794331144141,
3983074113875692800,0.17513092048206835,0.09830303180667756,1.0,,0.40565204592287313,0.004776807774666447,0.004839267196681646,
3986814617275053313,0.3400789741937344,0.08090855364674134,0.5,,0.9745889052500252,0.5830999835282491,0.9609402004839267,
3987739404272887297,0.294162430779695,0.042854902283265356,0.5,,0.2844018352188663,0.994234887168506,0.4773591427583823,
3988071780777702657,0.18698264878813967,0.03503001819413796,0.5,,0.4649387181032751,0.39054521495634986,0.3076391289319046,
3988187872032603905,0.17720491460732912,0.04581421393880169,0.0,,0.4069851902945991,0.8604842694778455,0.5914275838230211,
3988205565930333696,0.18531650360350674,0.05658742399526223,0.5,,0.47352105399121674,0.05880415088123868,0.04873833390943657,
3991414786174551297,0.16758052934017031,0.1121897869114868,0.5,,0.37257752219696133,0.04892110031296327,0.03214656066367093,
3993014919980212480,0.18288276491394856,0.04945653110593744,0.0,,0.5933859783782377,0.11217262394992587,0.1144141030072589,
3993222640082269952,0.16872440404203815,0.045233074014513645,0.0,,0.5787708004927623,0.5061769066051721,0.49567922571724854,
3994879592543698688,0.1897604500243252,0.033899215318346484,0.0,,0.6887920267841565,0.1052544885521331,0.12478396128586243,
3995532094997544704,0.0,0.025338113909413755,0.5,,0.2666470025877091,0.9943996046779773,0.44763221569305217,
3996598927198996481,0.18798536568951107,0.053609217428930954,0.5,,0.45885481331373473,0.43600724757041676,0.33874870376771515,
3998572645139652353,0.2602421900943263,0.044197977966466774,0.5,,0.44497545853784554,0.04150881238675671,0.032837884548911164,
3998659472131949824,0.1635653581376259,0.03846621573505743,1.0,,0.610252057423331,0.021907428759677154,0.02488765986864846,
3999240873283311617,0.6511447681513155,0.05593131916912106,0.5,,0.6518959349229365,0.7425465326964257,0.817836156239198,
3999845462424248576,0.21565853060760487,0.06308067151611911,0.5,,0.5418561912827942,0.5442266512930325,0.4987901832008296,
4000222729738650369,0.16776586715327646,0.08145586535218974,0.5,,0.6983978073669149,0.15549332894086643,0.18562046318700312,
4000877324693233921,0.1364693605524492,0.030116056569101827,0.5,,0.5589185957885612,0.994234887168506,0.938126512270999,
4002413037164645377,0.19009484469191976,0.0597147313848362,0.5,,0.23144904058669882,0.09257124032284632,0.03698582786035257,
4004410127575640832,0.1808328741022011,0.05000673073295897,0.5,,0.4300551768906199,0.0812057321693296,0.060490839958520566,
4004713168329653760,0.16614845470636863,0.047452293641037833,0.5,,0.09229120621525684,0.0021413276231263384,0.000691323885240235,
4006366295148391425,0.182169968410503,0.05531678519904782,0.5,,0.2140586787327433,0.10986657881732828,0.04044244728655375,
4008537296438699777,0.17401664844483608,0.061752181203608564,0.5,,0.5798820368085718,0.0858178224345248,0.08606982371240926,
4008711265867865600,0.2803395309452423,0.04177488352170295,0.5,,0.5249355155542909,0.06259265359907758,0.05737988247493951,
4008804082027254529,0.1858950220408506,0.0356166861634685,0.5,,0.6734418324291741,0.1582935266018778,0.18216384376080194,
4011626972687000576,0.2113903405670448,0.04142725843271882,0.5,,0.4785396575900397,0.9952231922253335,0.8040096785343933,
4012994295026226176,0.17602613234290584,0.09146974065786424,0.0,,0.49876993980924694,0.10097183330588042,0.0867611475976495,
4013955990069013504,0.1664191084996201,0.07469297673268299,0.5,,0.8213401759827047,0.05666282325811234,0.08157621845834774,
4013978721149559808,0.19118451067037304,0.061325529998383206,1.0,,0.2585095521029388,0.0461209026519519,0.021085378499827168,
4014818740371615232,0.17025594998827515,0.03488490381204461,0.5,,0.26143359643395536,0.08482951737769726,0.038368475630833045,
4016164457907769600,0.19075543161006353,0.03527654367549556,1.0,,0.5424700814759128,0.11497282161093725,0.10715520221223643,
4017110277719148289,0.18076374364911024,0.050971965528431175,0.5,,0.7070165618990212,0.03920276725415912,0.049429657794676805,
4017263283405469185,0.2310501427867544,0.029174208033569002,0.5,,0.41888003825863435,0.994234887168506,0.7030763912893191,
4017323550554338817,0.18354755517227705,0.07652505871509163,0.5,,0.6241086981767506,0.08746499752923735,0.09436571033529209,
4019895412775450368,0.1776855397260816,0.060459417982540654,1.0,,0.5280479346851911,0.09174765277549003,0.08365019011406843,
4020204877254599680,1.0,0.021287889685104002,0.5,,0.4104365369958005,0.994234887168506,0.6889042516418943,
4021243448368889856,0.16414473458360387,0.034204584577145286,0.5,,0.471600436387548,0.994234887168506,0.7915658486000692,
4021669203289716224,0.4597043856838348,0.032303427234549174,0.5,,0.39111279304539287,0.27474880579805633,0.18250950570342206,
4022565861939831809,0.3147085177222296,0.041898264099556576,0.5,,0.6574275710822977,0.11381979904463844,0.1285862426546837,
4022641794255717633,0.1721906855677419,0.09663565961698817,0.5,,0.5422642104772502,0.9945643221874485,0.9104735568613895,
4023616625178799873,0.17113475975731277,0.054585062875304166,0.5,,0.5107263666797134,0.13391533520013177,0.11717939854821983,
4023697433751327232,0.1749340455751088,0.052271050033145305,0.5,,0.11866012227675879,0.004612090265195191,0.00138264777048047,
4023697881318718465,0.18375166220453004,0.050676408123085645,0.5,,0.10679411004908292,0.009224180530390381,0.002073971655720705,
4026179081117855488,0.22695771458163166,0.034134904435616426,0.5,,0.2909281170541853,0.030143304233239993,0.015900449360525405,
4027747397961573889,0.1776608697197587,0.03580198208489156,1.0,,0.5606690777576854,0.07346400922418053,0.07155202212236433,
